council,council_url,councillor_index_url
Aberdeenshire,https://aberdeenshire.gov.uk/,https://aberdeenshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Arun,https://arun.gov.uk/,https://arun.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Ashfield,https://ashfield.gov.uk/,https://ashfield.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Ashford,https://ashford.gov.uk/,https://ashford.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Barnet,https://barnet.gov.uk/,https://barnet.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Bassetlaw,https://bassetlaw.gov.uk/,https://bassetlaw.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Blaby,https://blaby.gov.uk/,https://blaby.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Blackpool,https://blackpool.gov.uk/,https://blackpool.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Bolsover,https://bolsover.gov.uk/,https://bolsover.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Boston,https://boston.gov.uk/,https://boston.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Breckland,https://breckland.gov.uk/,https://breckland.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Bridgend,https://bridgend.gov.uk/,https://bridgend.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Broxbourne,https://broxbourne.gov.uk/,https://broxbourne.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Buckinghamshire,https://buckinghamshire.gov.uk/,https://buckinghamshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Calderdale,https://calderdale.gov.uk/,https://calderdale.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Cambridgeshire,https://cambridgeshire.gov.uk/,https://cambridgeshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Cheshire East,https://cheshireeast.gov.uk/,https://cheshireeast.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Cheshire West and Chester,https://cheshirewestandchester.gov.uk/,https://cheshirewestandchester.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Chorley,https://chorley.gov.uk/,https://chorley.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Cornwall,https://cornwall.gov.uk/,https://cornwall.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Dartford,https://dartford.gov.uk/,https://dartford.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Derbyshire,https://derbyshire.gov.uk/,https://derbyshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Devon,https://devon.gov.uk/,https://devon.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Doncaster,https://doncaster.gov.uk/,https://doncaster.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Durham,https://durham.gov.uk/,https://durham.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
East Hertfordshire,https://easthertfordshire.gov.uk/,https://easthertfordshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
East Lindsey,https://eastlindsey.gov.uk/,https://eastlindsey.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
East Riding of Yorkshire,https://eastridingofyorkshire.gov.uk/,https://eastridingofyorkshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Elmbridge,https://elmbridge.gov.uk/,https://elmbridge.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Epping Forest,https://eppingforest.gov.uk/,https://eppingforest.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Erewash,https://erewash.gov.uk/,https://erewash.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Essex,https://essex.gov.uk/,https://essex.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Exeter,https://exeter.gov.uk/,https://exeter.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Falkirk,https://falkirk.gov.uk/,https://falkirk.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Folkestone and Hythe,https://folkestoneandhythe.gov.uk/,https://folkestoneandhythe.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Forest of Dean,https://forestofdean.gov.uk/,https://forestofdean.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Glasgow City,https://glasgowcity.gov.uk/,https://glasgowcity.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Gloucestershire,https://gloucestershire.gov.uk/,https://gloucestershire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Harlow,https://harlow.gov.uk/,https://harlow.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Hartlepool,https://hartlepool.gov.uk/,https://hartlepool.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Havant,https://havant.gov.uk/,https://havant.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Hertfordshire,https://hertfordshire.gov.uk/,https://hertfordshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Isle of Wight,https://isleofwight.gov.uk/,https://isleofwight.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Kent,https://kent.gov.uk/,https://kent.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
King's Lynn and West Norfolk,https://kingslynnandwestnorfolk.gov.uk/,https://kingslynnandwestnorfolk.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Lancashire,https://lancashire.gov.uk/,https://lancashire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Leicestershire,https://leicestershire.gov.uk/,https://leicestershire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Lichfield,https://lichfield.gov.uk/,https://lichfield.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Lincolnshire,https://lincolnshire.gov.uk/,https://lincolnshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Mansfield,https://mansfield.gov.uk/,https://mansfield.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Medway,https://medway.gov.uk/,https://medway.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Newcastle-under-Lyme,https://newcastleunderlyme.gov.uk/,https://newcastle-under-lyme.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Norfolk,https://norfolk.gov.uk/,https://norfolk.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
North Ayrshire,https://northayrshire.gov.uk/,https://northayrshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
North East Derbyshire,https://northeastderbyshire.gov.uk/,https://northeastderbyshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
North East Lincolnshire,https://northeastlincolnshire.gov.uk/,https://northeastlincolnshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
North Northamptonshire,https://northnorthamptonshire.gov.uk/,https://northnorthamptonshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
North Somerset,https://northsomerset.gov.uk/,https://northsomerset.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
North Warwickshire,https://northwarwickshire.gov.uk/,https://northwarwickshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
North West Leicestershire,https://northwestleicestershire.gov.uk/,https://northwestleicestershire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
North Yorkshire,https://northyorkshire.gov.uk/,https://northyorkshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Northumberland,https://northumberland.gov.uk/,https://northumberland.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Nottinghamshire,https://nottinghamshire.gov.uk/,https://nottinghamshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Oxfordshire,https://oxfordshire.gov.uk/,https://oxfordshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Pendle,https://pendle.gov.uk/,https://pendle.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Powys,https://powys.gov.uk/,https://powys.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Renfrewshire,https://renfrewshire.gov.uk/,https://renfrewshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Ribble Valley,https://ribblevalley.gov.uk/,https://ribblevalley.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Rochdale,https://rochdale.gov.uk/,https://rochdale.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Shropshire,https://shropshire.gov.uk/,https://shropshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Somerset,https://somerset.gov.uk/,https://somerset.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
South Holland,https://southholland.gov.uk/,https://southholland.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
South Lanarkshire,https://southlanarkshire.gov.uk/,https://southlanarkshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Southend-on-Sea,https://southendonsea.gov.uk/,https://southend-on-sea.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
St. Helens,https://sthelens.gov.uk/,https://sthelens.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Staffordshire,https://staffordshire.gov.uk/,https://staffordshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Stratford-on-Avon,https://stratfordonavon.gov.uk/,https://stratford-on-avon.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Suffolk,https://suffolk.gov.uk/,https://suffolk.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Swale,https://swale.gov.uk/,https://swale.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Tameside,https://tameside.gov.uk/,https://tameside.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Teignbridge,https://teignbridge.gov.uk/,https://teignbridge.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Tendring,https://tendring.gov.uk/,https://tendring.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Thanet,https://thanet.gov.uk/,https://thanet.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Thurrock,https://thurrock.gov.uk/,https://thurrock.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Torfaen,https://torfaen.gov.uk/,https://torfaen.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Uttlesford,https://uttlesford.gov.uk/,https://uttlesford.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Warwickshire,https://warwickshire.gov.uk/,https://warwickshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
West Northamptonshire,https://westnorthamptonshire.gov.uk/,https://westnorthamptonshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
West Sussex,https://westsussex.gov.uk/,https://westsussex.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Wiltshire,https://wiltshire.gov.uk/,https://wiltshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Windsor and Maidenhead,https://windsorandmaidenhead.gov.uk/,https://windsorandmaidenhead.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Wolverhampton,https://wolverhampton.gov.uk/,https://wolverhampton.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Worcester,https://worcester.gov.uk/,https://worcester.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Worcestershire,https://worcestershire.gov.uk/,https://worcestershire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Wyre,https://wyre.gov.uk/,https://wyre.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
